	test
311	[]
312	['мария', 'захаров', '👍', '👍', '👍', '🇷🇺🇷🇺🇷🇺']
313	['твой', 'жж', 'главное', 'твой', 'позорище', '🤣']
314	['стесняться', 'спросить', 'ухудшение', 'отношение', 'кто', 'зависеть']
315	['смысл', 'кто', 'санда', 'полностью', 'проамериканский', 'политик', 'посмотреть', 'страна', 'происходить', 'думать', 'просто', 'протест', 'начаться']
316	[]
317	['что', 'молдавия', 'делать', 'санда', 'пусть', 'ехать', 'америка']
318	['не', 'молдавия', 'никто', 'переживать', 'стать', 'большой', 'потеря']
319	['приднестровье', 'расположить', 'немой', 'российский', 'контингент']
320	['население', 'наш', 'больший', 'часть', 'молдавия', 'это', 'просто', 'вернуться', 'бумеранг', 'свой', 'человек', 'никто', 'простить']
321	['румын', 'обман', 'захватить', 'власть', 'молдавия', 'это', 'повод', 'идти', 'повод', 'народ', 'псевдо', 'молдавский', 'элита', 'отношение', 'иметь', 'вполне', 'конкретный']
322	['молдавия', 'преднистровие', 'разный', 'страна']
323	['вообще', 'плевать', 'молдавия', 'пустой', 'место', 'часть', 'румыния', 'значение', 'иметь', 'проблема', 'время', 'определиться', 'выборы', 'народ', 'молдавия', 'ходить', 'пора', 'научиться', 'смотреть', 'мир', 'реальный', 'глаз']
324	['это', 'близорукий', 'крот', 'выборы', 'молдавия', 'это', 'анекдот', 'оказаться', 'исход', 'решить', 'молдаванин', 'проживать', 'граница', 'молдавия']
325	['методичка', 'поменять', 'давно', 'устареть']
326	['мамаша', 'свой', 'указывать', 'бот']
327	['на', 'выборы', 'ходить', 'гражданин', 'молдавия', 'жить', 'граница', 'выбрать', 'судьба', 'хамить', 'незнакомый', 'человек']
328	['быстро', 'сдуться', 'когда', 'аргумент', 'переходить', 'хамство', 'оскорбление']
329	['кишинёв', 'выбрать', 'цивилизованный', 'страна', 'личный', 'дело', 'молдавия']
330	['дело', 'личный', 'называть', 'страна', 'цивилизовать', 'просто', 'смешно']
331	['какой', 'страна', 'цивилизованный', 'штат', 'который', 'разбомбить', 'ирак', 'сербия', 'нарушить', 'устать', 'оон']
332	['цивилизованный', 'другой', 'знать']
333	['оно', 'видно']
334	['кишинёв', 'продажный', 'правительство', 'копейка', 'конарейка', 'продать', 'страна']
335	['цивилизованный', 'ваш', 'китай', 'цивилизовать', 'страна', 'просить', 'обратить', 'внимание', 'тенденция', 'развитие', 'потенциал', 'мегополис', 'понять', 'европа', 'рядом', 'стоять', 'мощь', 'величие', 'китай']
336	['хотеть', 'подставить', 'один', 'место', 'китай', 'желать', 'прям', 'китай', 'съесть', 'россия']
337	['китай', 'молдавия', 'китаец', 'ссориться']
338	['узнать', 'критерий', 'цивилизованность', 'и', 'пример', 'такой', 'страна', 'ответ', 'другой', 'разъяснять', 'сказать', 'вы']
339	['а', 'это', 'цивилизованный', 'страна']
340	['то', 'молдова', 'предпочесть', 'дружить', 'рф', 'эритрея', 'северный', 'корь', 'буркина', 'фасо', 'сша', 'швейцария', 'норвегия', 'южный', 'корь', 'германия', 'австралия', 'канада', 'япония', 'весь', 'страна', 'ес', 'да', 'глупый', 'выбор', '😇', '😇', '😇']
341	['дружить', 'служить', 'сша', 'иже', 'они']
342	['рф', 'дружить', 'сша', 'служить', '🤣', '🤣', '🤣', 'двойной', 'стандарт', 'давно', 'подметить', 'кремлебот', 'нечего', 'ответить', 'включать', 'кричалка', 'замусолить', 'друг', 'сша', 'раб']
343	['дружба', 'сша', '😂', '😂', '😂']
344	['простой', 'народ', 'делить', 'нечего', 'в', 'бизнес', 'друг', 'нэт', 'кто', 'этот', 'править', 'такой', 'политика']
345	['сша', 'друг', 'прислуга']
346	['простой', 'народ', 'нормальный', 'страна', 'явно', 'предпочитать', 'дружить', 'развитой', 'страна', 'мир', 'нищий', 'полудикий', 'племя', 'страна', 'автократия']
347	['россия', 'друг']
348	[]
349	['китай', 'китай', 'друг', 'китай', 'действовать', 'свой', 'интерес', 'мочь', 'лукашенко', 'странный', 'друг', 'использовать', 'раб', 'страна', 'плацдарм', 'быть', 'друг', 'давно', 'китайский', 'вооружение', 'победить', 'украина', 'нато', 'поле', 'бой', 'заняться', 'тайвань']
350	['в', 'дело', 'страна', 'власть', 'полностью', 'соглашаться', 'народ', 'есть', 'власть', 'феодальный', 'быть', 'палец', 'показывать', 'скрытый', 'власть', 'деньга', 'кто', 'власть', 'сша', 'англия', 'а', 'слуга', 'купить', 'запугать', 'труп', 'думать', 'дойти', 'брить', 'рука', 'так', 'народ', 'статистый']
